name,role,pick_rate,normalized_pick_rate,win_rate,normalized_win_rate
Jeff the Land Shark,Strategist,21.18,7.060706070607062,45.39,2.7460328023570266
Cloak & Dagger,Strategist,18.81,6.270627062706271,50.2,3.0370312112430655
Mantis,Strategist,15.75,5.250525052505251,56.03,3.3897382224292616
Luna Snow,Strategist,15.48,5.1605160516051605,50.31,3.0436860605107294
Rocket Raccoon,Strategist,10.48,3.493682701603494,50.96,3.0830101698196533
Loki,Strategist,9.24,3.0803080308030806,53.41,3.2312318125994444
Adam Warlock,Strategist,9.06,3.0203020302030206,54.42,3.292335428602542
