name,role,pick_rate,normalized_pick_rate,win_rate,normalized_win_rate
Venom,Vanguard,19.09,6.363969730306364,49.2,2.9765325815370285
Peni Parker,Vanguard,15.65,5.217188385505218,55.38,3.3504141131203378
Thor,Vanguard,13.36,4.453778711204454,53.26,3.2221570181435384
Doctor Strange,Vanguard,12.52,4.173750708404174,49.05,2.967457787081122
Captain America,Vanguard,10.33,3.443677701103444,52.24,3.1604484158433808
Hulk,Vanguard,9.78,3.2603260326032606,51.45,3.112654498375612
Groot,Vanguard,9.69,3.2303230323032306,48.49,2.933578554445742
Magneto,Vanguard,9.56,3.1869853652031876,50.33,3.04489603310485
