name,role,pick_rate,normalized_pick_rate,win_rate,normalized_win_rate
Luna Snow,Strategist,20.66,6.886207586160924,49.74,3.0301368861596947
Cloak&Dagger,Strategist,20.58,6.859542697153523,46.68,2.8437231573368424
Mantis,Strategist,19.77,6.589560695953603,55.2,3.362757461118117
Jeff the Land Shark,Strategist,13.86,4.619692020531964,44.38,2.7036082631235874
Rocket Raccoon,Strategist,9.51,3.1697886807546163,53.2,3.2409184226718084
Loki,Strategist,8.19,2.729818012132524,53.79,3.2768609390134693
Adam Warlock,Strategist,7.45,2.4831677888140793,53.59,3.2646770351688383
