name,role,pick_rate,normalized_pick_rate,win_rate,normalized_win_rate
Doctor Strange,Vanguard,19.29,6.429571361909206,50.79,3.0941023813440065
Peni Parker,Vanguard,18.0,5.999600026664889,53.05,3.231780494788335
Venom,Vanguard,14.65,4.883007799480035,47.56,2.897332334253218
Thor,Vanguard,12.52,4.173055129658023,52.65,3.2074126870990733
Groot,Vanguard,11.99,3.9964002399840015,48.84,2.975309318858856
Magneto,Vanguard,10.11,3.3697753483101125,48.97,2.9832288563578655
Hulk,Vanguard,6.74,2.2465168988734083,51.79,3.1550219005671605
Captain America,Vanguard,6.7,2.2331844543697086,49.36,3.006987468854896
