name,role,pick_rate,normalized_pick_rate,win_rate,normalized_win_rate
Doctor Strange,Vanguard,34.02,11.340378012600423,51.87,3.1970956786508955
Magneto,Vanguard,20.38,6.793559785326178,49.4,3.0448530272865675
Groot,Vanguard,13.02,4.340144671489051,49.17,3.0306765860664076
Hulk,Vanguard,10.22,3.4067802260075344,54.17,3.3388600908524975
Peni Parker,Vanguard,7.85,2.6167538917963933,50.09,3.0873823509470486
Thor,Vanguard,7.69,2.5634187806260216,49.59,3.0565640004684393
Venom,Vanguard,4.56,1.520050668355612,45.29,2.791526186352402
Captain America,Vanguard,2.27,0.7566918897296578,47.98,2.957328911927318
