name,role,pick_rate,normalized_pick_rate,win_rate,normalized_win_rate
Mantis,Strategist,27.03,9.010300343344781,53.34,3.287701629058007
Luna Snow,Strategist,21.61,7.203573452448415,50.28,3.0990933241289196
Cloak&Dagger,Strategist,15.93,5.310177005900198,43.18,2.661472747332672
Rocket Raccoon,Strategist,14.62,4.873495783192774,51.84,3.1952465776221803
Loki,Strategist,8.77,2.9234307810260347,51.03,3.1453208498468332
Adam Warlock,Strategist,8.09,2.696756558551952,53.42,3.2926325651345847
Jeff the Land Shark,Strategist,3.94,1.3133771125704192,44.21,2.7249585493186066
